Help!	बचाओ!
Two Staples	दो स्टेपल्स
Three Staples	तीन स्टेपल्स
Six Staples	छः स्टेपल्स
Administrator Defined	प्रशासक पारिभाषित
Standard Mailbox	मानक मेल- बक्सा
Sheet Feeder	शीट फीडर
Transparency Film	ट्रांस्पेरेंसी फिल्म
Compression Method	संपीडन विधि
Compressed Replacement Delta Row Encoding	संपीडित बदल डेल्टा रो एनकोडिंग
Delta Row Compression	डेल्टा रो संपीडन
Runlength Encoding	रन- लैंथ एनकोडिंग
Tagged Image File Format	टैग्ड इमेज फ़ाइल फॉर्मेट
Unencoded	अनएनकोडेड
Intensity Rendering	इंटेंसिटी रेंडरिंग
Half Tones	हाफ टोन्स
Leading Edge	लीडिंग एज
Print Head Passes per Line	प्रिंटर हेड पास हो प्रति पंक्ति
Crown Octavo	क्राउन ऑक्टेवो
Demy Octavo	डेमी ऑक्टेवो
Oufuku Card	औफुकु कार्ड
Penguin Small Paperback	पेंगुइन छोटा पेपरबैक
Royal Octavo	रॉयल ऑक्टेवो
Small Paperback	छोटा पेपरबैक
Premium	प्रीमियम
Ghostscript Resolution	घोस्टस्क्रिप्ट रिसॉल्यूशन
Grayscale only	सिर्फ ग्रे- स्केल
Adaptive Hybrid	एडाप्टिव हाई- ब्रिड
Adaptive Random	एडाप्टिव बेतरतीब
Ordered	आर्डर्ड
Very Fast	बहुत तेज
Demy Quarto	डिमाई क्वॉत्रो
European Foolscap	यूरोपीय फुलस्केप
Royal Quarto	रॉयल क्वॉत्रो
Autoselect	स्वतः चयन
Optional Source	वैकल्पिक स्रोत
Manual Feed of Paper	कागज का मैनुअल फीड
Economy mode	मितव्ययी मोड
Economy Mode	मितव्ययी मोड
Standard Mode	मानक मोड
Memory Booster Technology	मेमोरी बूस्टर तकनॉलाजी
Color mode	रंग विधि
Raster Graphics Quality	रास्टर ग्राफिक क्वालिटी
Do not use Color Correction	रंग सुधार उपयोग नहीं करें
DisableColorCorrection	रंग- सुधार- अक्षम
EnableColorCorrection	रंग- सुधार- सक्षम
Choice of Ghostscript Driver	घोस्ट- स्क्रिप्ट- ड्राइवर का चुनाव
Use Postcards	पोस्टकार्ड इस्तेमाल करें
Postcards	पोस्टकार्ड
Rendering type	रेंडरिंग क़िस्म
Cluster ordered dither	क्लस्टर आर्डर्ड डिथर
Monochrome cluster ordered dither	मोनोक्रोम क्लस्टर आर्डर्ड डिथर
Driver does dithering	ड्राइवर डिथरिंग करें
Error diffusion	त्रुटि डिफ्यूज़न
Monochrome error diffusion	मोनोक्रोम त्रुटि डिफ्यूज़न
Ordered dithering	आर्डर्ड डिथरिंग
Monochrome ordered dithering	मोनोक्रोम आर्डर्ड डिथरिंग
Snap to primaries	प्राथमिक में जाएँ
Quality Type	विशेषता क़िस्म
Behavior when Toner Low	जब टोनर कम हो तो बर्ताव
Continue Printing	छापना जारी रखें
Stop Printing	छापना बन्द
Job Offset	कार्य ऑफसेट
Cassette	कैसेट
Drawer Base	ड्राअर बेस
Finisher Installed	फिनिशर संस्थापित
Edge Smoothing	किनारा चिकना
All Objects	सभी ऑब्जैक्ट्स
Print Density	प्रिंटर घनत्व
Toner Save	टोनर संरक्षा
Duplex Mode	डुप्ले मोड
Special Modes	विशेष मोड्स
Booklet	बुकलेट
Stapling	स्टेपलिंग
Wait Mode	वेट मोड
Front Cover	अग्र आवरण
Printed	मुद्रित
Blank	खाली
Front Cover Tray	अग्र आवरण ट्रे
Back Cover	पृष्ठ आवरण
Cover Tray	आवरण ट्रे
No Finisher	फिनिशर नहीं
Tandem Configuration	टेन्डम कॉन्फ़िगरेशन
Fold only	सिर्फ मोड़ें
Wait	इंतजार करें
Wait with Proof	प्रूफ के साथ रूकें
Back Cover Tray	पृष्ठ आवरण ट्रे
Tandem Printing	टैंडम प्रिंटिंग
EcoPrint	मितव्ययी छापें
Auto Tray Switch	आटो ट्रे स्विच
Optional Disk	वैकल्पिक डिस्क
PostCard	पोस्टकार्ड
DoublePostCard	डबल- पोस्टकार्ड
Job Spooling	कार्य स्पूलिंग
Optional Feeder	वैकल्पिक फीडर
One	एक
Output Device	आउटपुट उपकरण
Duplexing	डुप्लेिंग
Temporary	अस्थायी
Bulk Feeder	बल्क फीडर्स
Universal Feeder	यूनिवर्सल फीडर
Color Matching	रंग मैचिंग
Simulate Display	प्रदर्शक सिमुलेट करें
Permanent	स्थायी
Barcode Position	बारकोड स्थिति
Upper Left	ऊपरी बायाँ
Upper Right	ऊपरी दायाँ
Lower Left	निचला बायाँ
Lower Right	निचला दायाँ
Upper Left Vertical	ऊपरी बायाँ खड़ा
Upper Right Vertical	ऊपरी दायाँ खड़ा
Lower Left Vertical	निचला बायाँ खड़ा
Lower Right Vertical	निचला दायाँ खड़ा
Application Corrected	अनुप्रयोग संशोधित
Printer Corrected	प्रिंटर संशोधित
Euroscale Press	यूरोस्केल प्रेस
Trinitron	ट्रिनिट्रॉन
Duplex Paper	डुप्ले कागज
Coated Paper	कोटेड कागज
Staple Method	स्टेपल विधि
Manual Envelope	मेनुअल लिफाफा
Manual Paper	मैनुअल कागज
Tray Linking	ट्रे लिंकिंग
Smoothing	चिकना
Other Envelope	अन्य लिफाफा
Simplex	सिंप्लेक्स
Printer Software Version	प्रिंटर सॉफ्टवेयर संस्करण
Bold Black	गाढ़ा काला
Screening	स्क्रीनिंग
Blue Adjust	नीला समायोजन
Image Brightness	छवि चमकीलापन
Image Contrast	छवि कंट्रास्ट
Pause Mode	ठहरा मोड
ColorGrade	रंग- ग्रेड
Image Diffusion	छवि डिफ्यूज़न
Print Darkness	छापें कालिमा
Feeder	फीडर
Toner Saver	टोनर संरक्षक
Image Smoothing	छवि चिकनापन
Colored Paper	रंगीन कागज
Port Rotation	पोर्ट रोटेशन
Collate Copies	प्रतियाँ कोलेट करें
Rear	पिछला
Left Cartridge	बायाँ कार्ट्रिज
Unknown Cartridge	अज्ञात कार्ट्रिज
Standard Black Cartridge	मानक काला कार्ट्रिज
High Capacity Black Cartridge	उच्च क्षमता काला कार्ट्रिज
Photo Cartridge	फोटो कार्ट्रिज
Right Cartridge	दायाँ कार्ट्रिज
Standard Color Cartridge	मानक रंग कार्ट्रिज
High Capacity Color Cartridge	उच्च क्षमता रंग कार्ट्रिज
Greeting Card	बधाई पत्र
Iron On	आयरन- आन
QuickPrint	तेज छपाई
Fax Card	फ़ैक्स कार्ड
Printer Setting	प्रिंटर विन्यास
Image Enhancement	छवि एनहैंसमेंट
PictureGrade	छवि- ग्रेड
Toner Darkness	टोनर कालिमा
Standard Bin Only	सिर्फ मानक बिन
Standard Bin	मानक बिन
Color Registration	रंग पंजीकरण
High Speed	उत्तम गति
Finish Quality	फ़िनिश़ क्वालिटी
Medium Gloss	मध्यम ग्लॉस
High Gloss	उच्च ग्लॉस
Low Gloss	निम्न ग्लॉस
Contone	कॉनटोन
Stochastic	स्टॉकएस्टिक
Multipurpose Feeder	बहुउद्देशीय फीडर
Manual Feed Paper Type	मेनुअल फीड कागज क़िस्म
No Tray Linking	कोई ट्रे लिंकिंग नहीं
Do Not Care	कोई चिंता नहीं
Images Only	सिर्फ छवियाँ
Entire Page	संपूर्ण पृष्ठ
Hole Punch	होल पंच
Offset Pages	ऑफसेट पृष्ठ
Between Copies	प्रतियों के बीच
Page Drying Time	पृष्ठ सूखने का समय
Multi Feeder	मल्टी फीडर
TraySwitch	ट्रे- स्विच
EnvMonarch	लि. मोनॉर्क
OKHalftoneMode	ओके- हाफ- टोन- मोड
Color Depth	रंग गहराई
Paper Size	कागज आकार
Paper Tray	कागज ट्रे
Paper Weight	कागज भार
Rendering Mode	रेडरिंग मोड
Graphics Mode	ग्राफिक्स मोड
Text Mode	पाठ मोड
Color Correction Mode	रंग सुधार विधि
Next Job is spot color page	स्पॉट रंग पृष्ठ पर अगला कार्य
NextSpotColorPage	अगला- स्पॉट- रंग- पृष्ठ
NextNotSpotColorPage	अगला- नहीं- स्पॉट- रंग- पृष्ठ
Color correction	रंग संशोधन
NoColorCorrection	नहीं- रंग- संशोधन
ColorCorrection	रंग- संशोधन
This Job is spot color page	यह कार्य स्पॉट रंग पृष्ठ है
ThisSpotColorPage	यह- स्पॉट- रंग- पृष्ठ
ThisNotSpotColorPage	यह- नहीं- स्पॉट- रंग- पृष्ठ
Pass output to device set by the spooler	उपकरण को पास आउटपुट स्पूलर द्वारा नियत
Label Size	लेबल आकार
Colors to be used	उपयोग में रंग
Black for any color	किसी भी रंग के लिए काला
Black and Color	काला तथा रंगीन
Photo and Color	फोटो तथा रंगीन
Black and Photo catridges	काला तथा फोटो कार्ट्रिजेस
Reset printer before printing	मुद्रित करने से पहले प्रिंटर रीसेट करें
NoReset	रीसेट नहीं
Power saving mode after printing	छापने के पश्चात बिज़ली संचयन मोड
PowerSaving	बिज़ली- संचयन
NoPowerSaving	बिज़ली- संचयन- नहीं
HalfLetter	अर्ध- पत्र
Kaku	काकु
Solid Tone	ठोस टोन
MediaType	मीडिया- क़िस्म
Dither	डिथर
Bidirectional Printing	दो- तरफा छपाई
Black and Cyan	काला और क्यान
Black and Magenta	काला और मजेंटा
Black and Yellow	काला और पीला
Black Cartridge	काला कार्ट्रिज
Colour Cartridge	रंग कार्ट्रिज
Colour Correction	रंग सुधार
Colour mode	रंग मोड
Colours one page at a time	रंग एक समय में एक पृष्ठ
Colours to be printed	रंग जो मुद्रित की जाना है
Composed Black	कम्पोस्ड काला
Compressed Data Transfer	संपीडित डाटा स्थांतरण
CorrectBlack	सही- काला
Curl Correction	कर्ल सुधार
Default behaviour	डिफ़ॉल्ट बर्ताव
DoNotOverlay	ओवरले- नहीं
Driver Default	ड्राइवर डिफ़ॉल्ट
Each line in all colours	प्रत्येक पंक्ति सभी रंगों में
First pass of an overlayed printout	ओवरले प्रिंटआउट का प्रथम पास
Glossy finishing	ग्लॉसी फिनिशिंग
Inverse Printing	उल्टी छपाई
Job Type	कार्य क़िस्म
KeepBlack	काला- रखें
Keep pure black	शुद्ध- काला- रखें
Last pass of an overlayed printout	ओवरले प्रिंटआउट का अंतिम पास
Limit Error from Paper Colour Correction	त्रुटि को कागज रंग सुधार सीमा में रखें
Middle pass of an overlayed printout	ओवरले प्रिंटआउट का मध्य पास
No dithering	डिथरिंग नही
noGlossy	ग्लॉसी- नहीं
Photo Full Bleed	फोटो फुल ब्लीड
Print next job over the current one	अगले कार्य को मौज़ूदा कार्य से पहले छापें
Printout Quality	छपाई क्वालिटी
Reset after job	कार्य के बाद रीसेट
Roll Paper	रोल कागज
Single Pass Job	एक पास कार्य
UseMultiColourRibbon	बहु- रंग- फीता- उपयोग- करें
UseStandardRibbons	मानक- फीता- उपयोग- करें
Icecream Monitor	आइसक्रीम मॉनीटर
Icemon	आइसमॉन
A monitor for an Icecream compilation network	आईसक्रीम कम्पायलर नेटवर्क के लिए एक मॉनीटर
KDevannotation	केडेवएनोटेशन
annotation Plugin	एन्नोटेशन प्लगइन
annotation Description	एन्नोटेशन वर्णन
KDevcopyto	के- डेव- क्रिप्टो
CopyTo	नक़ल करें
KDevSecurity	केडेवसेक्यूरिटी
Security Checker	सुरक्षा जांचक
CSharp Language Support	सी # भाषा समर्थन
KDevCSharpSupport	केडेवसीशार्पसपोर्ट
CSharp Support	केडेवसीशार्पसपोर्ट
Css Language Support	सी # भाषा समर्थन
KDevCssSupport	केडेवसीशार्पसपोर्ट
Java Language Support	जावा भाषा समर्थन
KDevJavaSupport	के- डेव- जावा- समर्थन
Python Language Support	पायथन भाषा समर्थन
KDevPythonSupport	के- डेव- पायथन- समर्थन
Ruby Language Support	रूबी भाषा समर्थन
KDevRubySupport	के- डेव- रूबी- समर्थन
KPackageMaker	केपैकेजमैनेजर
QuickSnippet Configuration	क्विकस्निपेट कॉन्फ़िगरेशन
QuickSnippet	क्विकस्निपेट
Replace small text shortcut by snippets	छोटे पाठ शॉर्टकट को स्निपेट से बदलें
Show time scale	टाइम स्केल दिखाएँ
mint	क्लाएंट
IP	आईपीः
Speed	गतिः
Real	रीयल
Faults	खराबियाँ
Size In	आकार अंदर
Size Out	आकार बाहर
Check Nodes	नोड्स जांचें
Icecream monitor for KDE	केडीई के लिए आइसक्रीम मॉनीटर
Icecream network name	आइसक्रीम नेटवर्क नाम
Suppress domain name	डोमेन नाम सप्रेस करें
Show job lines	कार्य पंक्तियाँ दिखाएँ
Clients attract hosts	क्लाएंट एट्रेक्ट होस्ट
Scheduler	शेड्यूलर
Kalcul	केलकल
Mental Calculation Tutor	मानसिक गणित शिक्षक
A KDE KPart Application	एक केडीई के- पार्ट अनुप्रयोग
Kard	कार्ड
KEduca	के- एज़ुका
Edu Document	ईडीयू दस्तावेज़
Edu Gallery Document	ईडीयू गैलरी दस्तावेज़
KEduLaunch	केएजुलांच
KMathtool	के- मैथ- टूल
KMathtoolPart	के- मैथ- टूल- पार्ट
KMathAreaPerimeterPart	केमैथएरियापेरीमीटरपार्ट
Area and Perimeter	क्षेत्रफल तथा परिधि
KMathBasePart	केमैथबेसपार्ट
Factors	फैक्टर्स
KMathHyperbolaPart	केमैथहायपरबोलापार्ट
KMathLinePart	केमैथलाइनपार्ट
KMathParabolaPart	केमैथपैराबोलापार्ट
Parabolas	परवलय
KMathTrigGraphPart	केमैथट्रिगग्राफपार्ट
Trig Graph	ट्रिग ग्राफ
KMathVisTrigPart	केमैथविसट्रिगपार्ट
Vis Trig	विस ट्रिग
Kuriculum	करीकुलम
MathematiK	केमैथबेसपार्ट
MathematiKPart	के- मैथ- टूल- पार्ट
Exercise Dialog	अभ्यास संवाद
Level Editor	स्तर संपादक
Timer	टाइमर
Click on the Start button	स्टार्ट बटन में क्लिक करें
Set the maximum for the second term	द्वितीय टर्म के लिए अधिकतम सेट करें
The maximum value for the second term	द्वितीय टर्म के लिए अधिकतम मूल्य सेट करें
Set the maximum for the first term	प्रथम टर्म के लिए अधिकतम सेट करें
The maximum value for the first term	प्रथम टर्म के लिए अधिकतम मूल्य सेट करें
Test with a preset level you choose	आपके द्वारा चुने गए पहले से सेट स्तर पर परीक्षा
Timed test with random questions of a specified type	निर्धारित क़िस्म के बेतरतीब प्रश्नों से समयबद्ध परीक्षा
Practice	अभ्यास
Timed test with random questions of a specified type	समयबद्ध परीक्षा निश्चित क़िस्म के बेतरतीब प्रश्नों सहित
Timed test with a level you choose	समयबद्ध परीक्षा स्तर जो आपने चुना है
user name	उपयोक्ता नाम
number of proposed questions	जांच में प्रश्नों की संख्या
Number the result should not be above	० का अर्थ है कि परिणाम सीमित नहीं रहेगा
Select the type of operation	ऑपरेशन क़िस्म चुनें
Set the maximum value for the first term	प्रथम टर्म के लिए अधिकतम मूल्य सेट करें
Set the maximum value for the second term	द्वितीय टर्म के लिए अधिकतम मूल्य सेट करें
Set the value for the minimum term of the sequence	अनुक्रम के लिए सीमा चुनें
Set the value for the maximum term of the sequence	अनुक्रम के लिए सीमा चुनें
Questions answered	उत्तर दिए गए प्रश्न
Describe the level characteristics	स्तर गुणों का वर्णन करें
Choose the difficulty level	कठिनाई स्तर चुनें
Choose the type of operation	ऑपरेशन क़िस्म चुनें
Click here to add a question	प्रश्न जोड़ने के लिए यहाँ क्लिक करें
Delete the selected line	चयनित फ़ाइलें मिटाएँ
Create a new level	नया स्तर बनाएँ
Open a new level file to edit it	संपादित करने के लिए नया स्तर फ़ाइल खोलें
Close this dialog	यह संवाद बंद करें
Choose the range for the sequence	अनुक्रम के लिए सीमा चुनें
Enter the username	उपयोक्ता- नाम भरें
Number of questions in the test	जांच में प्रश्नों की संख्या
Set the number of questions in practice tests	अभ्यास परीक्षा में प्रश्नों की संख्या सेट करें
Test results	जाँच परिणाम
Your results	आपके परिणाम
timer	टाइमर
Only used if Use a timer is checked	तभी प्रयोग में आएगा जब टाइमर का प्रयोग करें चुना गया होगा
Check this if you want a timed test	यदि आप समयबद्ध परीक्षा चाहते हैं तो इसे चेक करें
Choose the number of cards	कार्डों की संख्या चुनें
Choose the theme for the cards	ताश के लिए प्रसंग चुनें
You can choose here the theme for the backs of the cards	यहाँ पर आप ताश के पीछे के चित्र के लिए प्रसंग चुन सकते हैं
Graphics Opposites Theme	ग्राफिक विरोधी प्रसंग
Renaud Blanchard	रेनाल्ड ब्लैंचार्ड
Graphics House Theme	ग्राफिक घर प्रसंग
Compiled Animals and Food themes	पशुओं तथा भोजन प्रसंगों को कम्पाइल किया
Bojan	बोजन
Select the theme you want	प्रसंग चुनें जिसका आप इस्तेमाल करना चाहते हैं
Select the speed you want the cards to be displayed	कार्ड के प्रदर्शित किए जाने की गति चुनें
Choose the number of displayed cards	प्रदर्शित किए जाने वाले कार्डों की संख्या चुनें
The value of the ComboBox	कॉम्बोबाक्स का मूल्य
Opposites	विरोधी
Animals	जानवर
Game is Finished	खेल पूर्ण हुआ
Click to see what is on the back of the card	कार्ड के पीछे क्या है यह देखने के लिए क्लिक करें
Click on another card and try matching a pair	अन्य कार्ड में क्लिक करें तथा एक जोड़ मिलाने की कोशिश करें
colors	रंग
house	घर
KEducaBuilder	के- एजुका- बिल्डर
Test builder for IMS QTI Exams	आईएमएस क्यूटीआई परीक्षा के लिए जांच निर्माता
File to load	लोड करने के लिए फ़ाइल
Assessment Section	मूल्यांकन खण्ड
New question	नया प्रश्न
Javier Campos	जेवियर काम्पोस
Klas Kalass	क्लास कालास
Various fixes and cleanups	बहुत सारे कोड साफ सफाई तथा सुधार
Nenad Grujicic	नेनाद ग्रुजिक
Question Editor	प्रश्न संपादक
Max Choices	अधिकतम चुनाव
Min Choices	न्यूनतम चुनाव
Score Bounds	अंक सीमा
Upper Bound	ऊपरी सीमा
Lower Bound	निचली सीमा
Section Editor	खण्ड संपादक
Max Attempts	अधिकतम प्रयास
Add Question	प्रश्न जोड़ें
Welcome to KEduca Test Builder	केएजुका जांच बिल्डर में आपका स्वागत है
Gallery	गैलरी
Computers	ईमेलः
Kurriculum	करीकुलम
Go On	जाएँ
Configure Kverbos	के- वर्बोस कॉन्फ़िगर करें
Kverbos Handbook	केवर्बोस हैंड- बुक
About Kverbos	के- वर्बोस के बारे में
Show Menu	मेन्यू दिखाएँ
Quit Kverbos	के- वर्बोस से बाहर जाएं
Correct Input	सही इनपुट
Next Task	अगला कार्य
Show Solution	हल दिखाएँ
Show the jigsaw	जिगसॉ दिखाएं
Jigsaw Settings	जिगसॉ विन्यास
Tiles in a row	पंक्ति में टाइलें
Tiles in a column	स्तम्भ में टाइलें
Verbs	क्रियाएँ
List of KVTML files to load	लोड करने के लिए केवीटीएमएल फ़ाइलों की सूची
Translated Verbs	अनुवादित क्रिया
Mix the Spanish and foreign infinitives if possible	यदि संभव हो स्पैनी तथा विदेशी इनफ़ाइनाइटिव मिलाएं
Show always the foreign infinitive if possible	यदि संभव हो तो विदेशी इनफ़ाइनाइटिव दिखाएं
Show always the Spanish infinitiv	हमेशा स्पेनी इनफ़ाइनाइटिव दिखाएँ
KVerbos	के- वर्बोस
Study Spanish grammar with KVerbos	के- वर्बोस के साथा स्पेनी ग्रामर सीखें
Arnold Kraschinski	अर्नाल्ड क्राशिंस्की
Topics	विषय
Exercise File	अभ्यास फ़ाइल
class	वर्ग
The Jigsaw	जिग- सॉ
Single User	एकल उपयोक्ता
it does nothing only test purpose	सिर्फ मेन्यू जनरेशन टेस्ट रन पूरा करें
Select verbs automatically if they are not in the selection	गंतव्य फ़ोल्डर में यदि मौजूदा फ़ाइलें हों तो उन्हें मिटाकर लिखें
Ignore accents while checking the user input	उपयोक्ता इनपुट की जांच के दौरान उच्चारण को अनदेखा करें
The use of the Clock	घड़ी का प्रयोग
Learn for	के लिए सीखें
Modo Indicativo	मोडो इंडिकातिवो
Presente	प्रेजेन्टे
Futuro Imperfecto	फ्यूचुरो इमपरफ़ेक्टो
Condicional Simple	कंडीक्शनल सिंपल
Futuro Perfecto	फ्यूचुरो परफेक्टो
Condicional Perfecto	कंडीशनल परफेक्टो
Modo Subjuntivo	मोडो सब्जन्तिवो
Modo Imperativo	मोडो इमपरफेक्टो
Futuro	फ्यूचुरो
Condicional	कंडीक्शनल
Proportion	समानुपात
with orthographic exceptions	ऑर्थोग्राफ़िक एक्सेप्शन्स के साथ
irregular verbs	अनियमित क्रिया
Look for an infinitive	इनफ़ाइनाइटिव के लिए देखें
List of Selected Verbs	चयनित क्रियाओं की सूची
Verbs in Grammatical Groups	व्याकरण समूह में क्रियाएँ
Verbs in Alphabetical Groups	अकारादि समूह में क्रियाएँ
Time to stay	बने रहने का समय
Selected Verbs	चयनित क्रिया
First letter is	प्रथम अक्षर है
network game	नेटवर्क खेल
force move	जबरदस्ती खिसकाएँ
set players	खिलाड़ी सेट करें
stop thinking	सोचना बन्द करें
White player	सफेद खिलाड़ी
Black player	काला खिलाड़ी
Draughts	ड्राट्स
A board game	बिसात के खेल
Piotr Banasiak	पियोत्र बानसिआक
connected	से कनेक्ट करें
disconnected	से कनेक्ट करें
engine details	इंजिन विवरण
player black or white	सफेद या काला खिलाड़ी
Level Type	स्तर क़िस्म
sec per move	सेकण्ड प्रति चाल
Fixed Depth	स्थिर गहराई
elapsed	बीता समय
score	अंक
depth	गहराई
nodes per second	नोड्स प्रति सेकण्ड
max depth	अधिकतम गहराई
host	होस्ट
localhost	लोकलहोस्ट
port	पोर्ट
terminate connection	कनेक्शन बन्द करें
wait for connection	कनेक्शन के लिए इंतजार करें
connect To	से कनेक्ट करें
This side plays	इस तरफ वाला खेलेगा
White Player	सफेद खिलाड़ी
Black Player	काला खिलाड़ी
American	अमेरिकी
KBackgammon	के- बैकगेमॉन
FIBS	एफआईबीएस
FIBS Home	एफआईबीएस घर
Backgammon Rules	बैकगेमॉन नियम
Double Cube	दोगुना घन
KBackgammon settings	केबैकगेमॉन इंजिन
Enable timeout	टाइम- आउट सक्षम करें
Reenable all messages	सभी संदेशों को फिर से सक्षम करें
Save settings on exit	बाहर होने पर विन्यास सहेजें
Backgammon board	बैकगेमॉन बिसात का खेल
Short Moves	छोटी चालें
Show pip count in title bar	शीर्षक पट्टी पर पीआईपी संख्या दिखाएँ
Set Cube Values	घन मान नियत करें.
Lower Player	निचला खिलाड़ी
Upper Player	ऊपर का खिलाड़ी
Open Cube	घन खोलें
Set Dice Values	पाँसे का मान नियत करें.
Kibitz to watchers and players	वाचर्स तथा खिलाड़ियों को केआईबीआईटीज़ेड
Whisper to watchers only	सिर्फ वाचर्स को फुसफुसाकर बताएँ
Chat Window	गपशप विंडो
Info On	जानकारी चालू
Talk To	से वार्तालाप करें
Use Dialog	संवाद इस्तेमाल करें
Gag	गेग
Ungag	अनगेग
Clear Gag List	गेग सूची साफ करें
Silent	मूक
FIBS backgammon engine	एफआईबीएस बैकगेमॉन इंजिन
FIBS Engine	एफआईबीएस इंजिन
Automatic Messages	स्वचलित संदेश
Show copy of personal messages in main window	मुख्य विंडो में निजी संदेश की नक़ल दिखाएँ
Automatically request player info on invitation	निमंत्रण पर खिलाड़ी जानकारी स्वचालित रूप से मांगें
Keep connections alive	कनेक्शन जीवंत बनाए रखें
Stay Connected	हमेशा कनेक्टेड रहें
Away message	दूर संदेश
Connected	कनेक्टेड
Server port	सर्वर पोर्ट
Login	लॉगइन
Connection Password	कनेक्शन पासवर्ड
Reconnect	फिर से जुड़ें
Please make your move	कृपया आप चाल चलें
It is your turn to roll the dice or double the cube	पाँसा फेंकने की या क्यूब को दोगुना करने की यह आपकी बारी है
Ready to Play	खेलने के लिए तैयार
Show Rating Computations	रेटिंग कम्पयुटेशन्स दिखाएँ
Greedy Bearoffs	लालची बीयरआफ्स
Ask for Doubles	दोगुना के लिए पूछें
Watches	निगरानी
Host name	होस्ट नाम
Invite	निमंत्रित करें
Talk	बात करें
Watch	निगरानी
Unwatch	निगरानी में नहीं
Blind	ब्लाइंड
Column Selection	स्तम्भ चयन
Invite Players	खिलाड़ियों को निमंत्रित करें
gnubg doubles	ग्नूबग दोगुना
Continue Old Game	पुराना खेल जारी रखें
GNU backgammon engine	जीएनयू बैकगेमॉन इंजिन
GNU Engine	ग्नू इंजिन
Local Games	स्थानीय खेल
Offer Network Games	नेटवर्क खेल प्रस्तावित करें
Join Network Games	नेटवर्क खेल में शामिल हों
Port Number	पोर्ट संख्या
one	एक
two	दो
KBackgammon engine	केबैकगेमॉन इंजिन
KBackgammon Engine	केबैकगेमॉन इंजिन
Names	नाम
Check for the computer to play	कम्प्यूटर खेले इसके लिए चेक करें
South	दक्षिण
Player name	खिलाड़ी नाम
Doubling	दोगुना
A Backgammon program for KDE	केडीई के लिए बैकगेमॉन प्रोग्राम
Jens Hoefkens	जेंस हॉफकेंस
Daren Sawkey	डेरेन स्वाकी
author of KBackgammon computer opponent	केबैकगेमॉन कम्प्यूटर प्रतिस्पर्धी का लेखक
Game Type	खेल क़िस्म
Click here to configure the event notification	घटना सूचनाओं के लिए यहाँ क्लिक करें
Tile Layer	टाइल परत
Item Layer	वस्तु परत
A Game IDE	खेल आईडीई
kolladev	कोलाडेव
Layer Toolbar	परत औज़ार- पट्टी
Select the type of game you want	खेल क़िस्म जो आप चाहते हैं उसे चुनें
A Game Engine	खेल इंजिन
kollagame	कोलागेम
Edit Blank Tile	रिक्त टाइल संपादित करें
Not allowed	स्वीकार्य नहीं
Name of the game	खेल नाम
Game started	खेल प्रारंभ
The are too many users playing in that server	वहाँ बहुत से खिलाड़ी उस सर्वर पर खेल रहे हैं
The server does not allow any spectator	सर्वर किसी प्रेक्षक को स्वीकारता नहीं है
The are too many users in the server	सर्वर में वहाँ बहुत से उपयोक्ता हैं
Too many players	बहुत सारे खिलाड़ी
Could not create a game	खेल बनाया नहीं जा सका
Set me as ready	मुझे तैयार के रूप में सेट करें
Game already in progress	खेल पहले से ही प्रगति पर है
Empty Nick	रिक्त उपनाम
You have to select a language for the game	आपको खेल के लिए कोई भाषा चुनना होगी
No language chosen	कोई भाषा चुना नहीं गया
No Valid Tile Set	कोई वैध टाइल सेट नहीं
Server Error	सर्वर त्रुटि
Name cannot be empty	नाम खाली नहीं रह सकता
Join as Player	खिलाड़ी के रूप में शामिल हों
Join as Spectator	दर्शक के रूप में शामिल हों
Language missing	भाषा नहीं है
Client Error	क्लाएंट त्रुटि
Send word	शब्द भेजें
Set me as not ready	तैयार नहीं के रूप में मुझे सेट करें
No Tiles Added	कोई टाइल नहीं जोड़ा गया
Pass	पास
Start the Server	सर्वर चालू करें
Stop the Server	सर्वर बन्द करें
Port of the Game	खेल के लिए पोर्ट
Server already running	सर्वर पहले से ही चल रहा है
Number of players	खिलाड़ियों की संख्या
Server started	सर्वर प्रारंभ
Server stopped	सर्वर बंद
Kombination	कॉम्बीनेशन
A Scrabble clone	स्क्रेबल क्लोन
Kombination Server	कॉम्बिनेशन सर्वर
Placing tiles	टाइलें रखना
Create New Game	नया खेल बनाएँ
Allow spectators	दर्शक स्वीकारें
Ignore Players	खिलाड़ियों को अनदेखा करें
Max number of players in a new game	खिलाड़ियों की संख्या
The port to connect to the server on	सर्वर से जुड़ नहीं सका
This represents the port used to connect to the server	सर्वर से जुड़ नहीं सका
The server to connect to	सर्वर किसी प्रेक्षक को स्वीकारता नहीं है
This represents the server to connect to to play an already created game	सर्वर से जुड़ नहीं सका
Current Game	मौज़ूदा खेल
Plays Log	लॉग प्ले करता है
Pass Turn	बारी पास करें
Pass Turn Options	बारी पास करने के विकल्प
Exchange All Tiles	सभी टाइलों को एक्सचेंज करें
Exchange Tiles	टाइलें अदलाबदली करें
Max Players	अधिकतम खिलाड़ी
Allows Spectators	दर्शक स्वीकारता है
Could not connect to the server	सर्वर से जुड़ नहीं सका
KDE Poker Game	केडीई पोकर खेल
KPoker	के- पोकर
Andreas Beckermann	आंद्रेयास बेकरमैन
Jochen Tuchbreiter	जोशेन टुकब्रेइटर
